名字,简介,包名,ID,appid,下载地址,类型
倩女幽魂,国民玄幻，次时代2.0版本启航,com.netease.l10.huawei,28dc29e3a2e642a680116ea006f68034,C10395198,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/28/28dc29e3a2e642a680116ea006f68034/com.netease.l10.huawei.2006281856.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=1&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
诛仙,来诛仙青春版和THE9一起快乐修仙,com.wanmei.zhuxian.huawei,c904d389921a4e69959eaf75b0b70ee1,C10500247,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/c9/c904d389921a4e69959eaf75b0b70ee1/com.wanmei.zhuxian.huawei.2006231648.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=2&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
完美世界,挥动翅膀，唤醒最初的飞行记忆,com.tencent.wmsj,de8d94fc838b45cfaaf3bc59c407620d,C100547131,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/de/de8d94fc838b45cfaaf3bc59c407620d/com.tencent.wmsj.2006051902.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=3&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
天姬变,免费送坐骑，国韵妖灵养成手游,com.tjbfx.union.huawei,29bcb5754575414cbb163b15df783f95,C101489719,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/29/29bcb5754575414cbb163b15df783f95/com.tjbfx.union.huawei.2006291534.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=4&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
青云诀2,跨服联赛，震撼来袭！,com.yyxx.qyj2.huawei,d2f7ab253969496db32e843f99ed13d8,C101215129,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/d2/d2f7ab253969496db32e843f99ed13d8/com.yyxx.qyj2.huawei.2006241258.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=5&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
太古神王,本游戏已开启实名认证，请完成登记。高自由度修真，开局送神器，一击爆全屏,com.bingougame.tgsw.huawei,b5813a6bfe024721a3c9e28fbebd713a,C100203651,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/b5/b5813a6bfe024721a3c9e28fbebd713a/com.bingougame.tgsw.huawei.2005221522.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=6&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
斗破苍穹,斗破正版，莫欺少年穷,com.tencent.tmgp.dpcq,b5511b87e1c14d5e81f2494fb435585f,C100409061,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/b5/b5511b87e1c14d5e81f2494fb435585f/com.tencent.tmgp.dpcq.2004241459.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=7&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
伏魔诀,精品新游：2020高爆版仙侠,com.fmj.huawei,e00f38891e3841b697ee83b9390789b5,C101307213,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/e0/e00f38891e3841b697ee83b9390789b5/com.fmj.huawei.2006181117.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=8&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
华夏,华夏系列首款硬派PK手游,com.tencent.hxgame,99210482bcba47adb175ded17bdbf2ce,C100232067,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/99/99210482bcba47adb175ded17bdbf2ce/com.tencent.hxgame.2006221157.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=9&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
剑玲珑,东方唯美仙侠手游 今夏好礼享不停,com.jllfx.union.huawei,5af177f2f1d54185af4fe0fa303ae2b8,C100874147,http://appdlc-drcn.hispace.hicloud.com/dl/appdl/application/apk/5a/5af177f2f1d54185af4fe0fa303ae2b8/com.jllfx.union.huawei.2006221710.apk?sign=e90k1001e710010720009000@39242AEB32C94CE8B8351B071FFF55F6&source=autoList&subsource=a91853b270c14e9d896b8112c8cd2ec6&listId=cds_111122938&position=10&extendStr=serviceType%3A20%3Bs%3A1593496663563%3Btrace%3A095e55b7d6c14e928680b7d150bc07bb&tabStatKey=G03006&hcrId=5ce2643be6f84004aa397892ab3314ee&maple=0&distOpEntity=HWSW,仙侠
